store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;1,5,1;890203010000;890203010000UNICABLUE;Habilitado;Catálogo, Búsqueda;;PULSERA MACRAME PLATA ;PULSERA MACRAME PLATA ;;;IVA AL 21%;1;5;1;;ANUAL;REBELIGION;;;;;;;1000;890203010000;;;;/media/import/fotosweb/rebeligion/1000/rebeligion_152-062_1.jpg;;;SILVER MACRAMÉ BRACELET;80% Cotton, 20% Silver;;/media/import/fotosweb/rebeligion/1000/rebeligion_152-062_1.jpg;;;;;OS;;40.50;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,5,1;890203010000;890203010000UNICABLUE;Habilitado;Catálogo, Búsqueda;;PULSERA MACRAME PLATA ;PULSERA MACRAME PLATA ;;;IVA AL 21%;1;5;1;;ANUAL;REBELIGION;;;;;;;1000;890203010000;;;;/media/import/fotosweb/rebeligion/1000/rebeligion_152-062_0.jpg;;;SILVER MACRAMÉ BRACELET;80% Cotton, 20% Silver;;/media/import/fotosweb/rebeligion/1000/rebeligion_152-062_1.jpg;;;;;OS;;40.50;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;0;simple;Default;;;373834KLX2N926*UNICABEIGENOIR;;Habilitado;Not Visible Individually;117448;POCHETTE CLIP LOGO;POCHETTE CLIP LOGO;;;IVA AL 21%;2;4;6;;OI15C;BALENCIAGA;UNICA;BEIGENOIR;1174481;;;;152;373834KLX2N926*;;F;01/01/99;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_0.jpg;;;CLIP LOGOED POCHETTE;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	22,5	cm<br/>Ancho: 	33	cm<br/>Fondo: 	1	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_2.jpg;Height: 	22,5	cm<br/>Width: 	33	cm<br/>Depth: 	1	cm;;F;OS;4;242.98;;;;3.00;1;12/08/15;11/09/15;1;;;466003204
admin;base;1;configurable;Default;talla,color;2,4,6;373834KLX2N926*;373834KLX2N926*UNICABEIGENOIR;Habilitado;Catálogo, Búsqueda;;POCHETTE CLIP LOGO;POCHETTE CLIP LOGO;;;IVA AL 21%;2;4;6;;OI15C;BALENCIAGA;;;;;;;152;373834KLX2N926*;;;;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_2.jpg;;;CLIP LOGOED POCHETTE;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	22,5	cm<br/>Ancho: 	33	cm<br/>Fondo: 	1	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_2.jpg;Height: 	22,5	cm<br/>Width: 	33	cm<br/>Depth: 	1	cm;;;OS;;242.98;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,6;373834KLX2N926*;373834KLX2N926*UNICABEIGENOIR;Habilitado;Catálogo, Búsqueda;;POCHETTE CLIP LOGO;POCHETTE CLIP LOGO;;;IVA AL 21%;2;4;6;;OI15C;BALENCIAGA;;;;;;;152;373834KLX2N926*;;;;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_1.jpg;;;CLIP LOGOED POCHETTE;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	22,5	cm<br/>Ancho: 	33	cm<br/>Fondo: 	1	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_2.jpg;Height: 	22,5	cm<br/>Width: 	33	cm<br/>Depth: 	1	cm;;;OS;;242.98;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,6;373834KLX2N926*;373834KLX2N926*UNICABEIGENOIR;Habilitado;Catálogo, Búsqueda;;POCHETTE CLIP LOGO;POCHETTE CLIP LOGO;;;IVA AL 21%;2;4;6;;OI15C;BALENCIAGA;;;;;;;152;373834KLX2N926*;;;;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_0.jpg;;;CLIP LOGOED POCHETTE;40% Calf Leather, 25% Cotton, 25% Linen/Flax, 10% Polyurethane;Alto: 	22,5	cm<br/>Ancho: 	33	cm<br/>Fondo: 	1	cm;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_1.jpg;/media/import/fotosweb/balenciaga/152/balenciaga_152-022_2.jpg;Height: 	22,5	cm<br/>Width: 	33	cm<br/>Depth: 	1	cm;;;OS;;242.98;;;;;1;;;1;;;
admin;base;0;simple;Default;;;13425UNICAUNICO;;Habilitado;Not Visible Individually;118788;PERFUME ROSE D'HOMME EAU PARFUM 100ml;PERFUME ROSE D'HOMME EAU PARFUM 100ml;;;IVA AL 21%;4;1;1;;ANUAL;LES PERFUMES DE ROSINE;UNICA;UNICO;1187881;;;;1000;13425;;F;01/01/99;/media/import/fotosweb/perfumes/1000/mark_birley-rose_dhomme_0.jpg;;;ROSE D'HOMME EAU DE PARFUM 100ml SPRAY;;;;;;;F;OS;4;86.78;30/12/99;30/12/99;.00;4.00;1;30/07/15;29/08/15;1;;;1036454892
admin;base;1;configurable;Default;talla,color;4,1,1;13425;13425UNICAUNICO;Habilitado;Catálogo, Búsqueda;;PERFUME ROSE D'HOMME EAU PARFUM 100ml;PERFUME ROSE D'HOMME EAU PARFUM 100ml;;;IVA AL 21%;4;1;1;;ANUAL;LES PERFUMES DE ROSINE;;;;;;;1000;13425;;;;;;;ROSE D'HOMME EAU DE PARFUM 100ml SPRAY;;;;;;;;OS;;86.78;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;13425;13425UNICAUNICO;Habilitado;Catálogo, Búsqueda;;PERFUME ROSE D'HOMME EAU PARFUM 100ml;PERFUME ROSE D'HOMME EAU PARFUM 100ml;;;IVA AL 21%;4;1;1;;ANUAL;LES PERFUMES DE ROSINE;;;;;;;1000;13425;;;;;;;ROSE D'HOMME EAU DE PARFUM 100ml SPRAY;;;;;;;;OS;;86.78;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;13425;13425UNICAUNICO;Habilitado;Catálogo, Búsqueda;;PERFUME ROSE D'HOMME EAU PARFUM 100ml;PERFUME ROSE D'HOMME EAU PARFUM 100ml;;;IVA AL 21%;4;1;1;;ANUAL;LES PERFUMES DE ROSINE;;;;;;;1000;13425;;;;/media/import/fotosweb/perfumes/1000/mark_birley-rose_dhomme_0.jpg;;;ROSE D'HOMME EAU DE PARFUM 100ml SPRAY;;;;;;;;OS;;86.78;30/12/99;30/12/99;.00;;1;;;1;;;
